2026-03-03 10:50:44.670 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip geo_TEST_user_777_Frankfurt_2026-02-25: strptime() argument 1 must be str, not None
2026-03-03 10:50:44.671 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip test_USER_alerts_999_D7-Place_2026-03-05: strptime() argument 1 must be str, not None
2026-03-03 10:50:44.671 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip test_USER_alerts_999_D1-Place_2026-02-27: strptime() argument 1 must be str, not None
2026-03-03 10:50:44.671 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip test_USER_alerts_999_D0-Place_2026-02-26: strptime() argument 1 must be str, not None
2026-03-03 10:50:44.672 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip test_ADMIN_FallbackCity_2026-05-01: strptime() argument 1 must be str, not None
2026-03-03 10:50:44.673 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip 554188368783_FALLBACKCITY_2026-05-01: strptime() argument 1 must be str, not None
2026-03-03 10:50:44.673 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip 554199999999_LISBOA_2026-04-14: strptime() argument 1 must be str, not None
2026-03-03 11:00:44.648 | INFO     | app.services.scheduler_service:monitor_park_wait_times:331 - 🎡 Monitorando filas dos parques para usuários ativos...
2026-03-03 11:05:44.645 | INFO     | app.services.flights_service:__init__:19 - ✅ Flights Service inicializado
2026-03-03 11:05:44.646 | INFO     | app.services.scheduler_service:monitor_active_flights:260 - ✈️ Monitor de Pouso: Verificando voos ativos...
2026-03-03 11:05:44.647 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip test_USER_alerts_999_D7-Place_2026-03-04: strptime() argument 1 must be str, not None
2026-03-03 11:05:44.647 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip test_USER_alerts_999_D1-Place_2026-02-26: strptime() argument 1 must be str, not None
2026-03-03 11:05:44.648 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip test_USER_alerts_999_D0-Place_2026-02-25: strptime() argument 1 must be str, not None
2026-03-03 11:05:44.648 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip geo_TEST_user_777_Frankfurt_2026-02-25: strptime() argument 1 must be str, not None
2026-03-03 11:05:44.649 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip test_USER_alerts_999_D7-Place_2026-03-05: strptime() argument 1 must be str, not None
2026-03-03 11:05:44.649 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip test_USER_alerts_999_D1-Place_2026-02-27: strptime() argument 1 must be str, not None
2026-03-03 11:05:44.651 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip test_USER_alerts_999_D0-Place_2026-02-26: strptime() argument 1 must be str, not None
2026-03-03 11:05:44.652 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip test_ADMIN_FallbackCity_2026-05-01: strptime() argument 1 must be str, not None
2026-03-03 11:05:44.652 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip 554188368783_FALLBACKCITY_2026-05-01: strptime() argument 1 must be str, not None
2026-03-03 11:05:44.653 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip 554199999999_LISBOA_2026-04-14: strptime() argument 1 must be str, not None
2026-03-03 11:10:44.632 | INFO     | app.services.scheduler_service:monitor_park_wait_times:331 - 🎡 Monitorando filas dos parques para usuários ativos...
2026-03-03 11:20:44.649 | INFO     | app.services.flights_service:__init__:19 - ✅ Flights Service inicializado
2026-03-03 11:20:44.652 | INFO     | app.services.scheduler_service:monitor_park_wait_times:331 - 🎡 Monitorando filas dos parques para usuários ativos...
2026-03-03 11:20:44.652 | INFO     | app.services.scheduler_service:monitor_active_flights:260 - ✈️ Monitor de Pouso: Verificando voos ativos...
2026-03-03 11:20:44.654 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip test_USER_alerts_999_D7-Place_2026-03-04: strptime() argument 1 must be str, not None
2026-03-03 11:20:44.654 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip test_USER_alerts_999_D1-Place_2026-02-26: strptime() argument 1 must be str, not None
2026-03-03 11:20:44.655 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip test_USER_alerts_999_D0-Place_2026-02-25: strptime() argument 1 must be str, not None
2026-03-03 11:20:44.655 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip geo_TEST_user_777_Frankfurt_2026-02-25: strptime() argument 1 must be str, not None
2026-03-03 11:20:44.655 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip test_USER_alerts_999_D7-Place_2026-03-05: strptime() argument 1 must be str, not None
2026-03-03 11:20:44.656 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip test_USER_alerts_999_D1-Place_2026-02-27: strptime() argument 1 must be str, not None
2026-03-03 11:20:44.656 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip test_USER_alerts_999_D0-Place_2026-02-26: strptime() argument 1 must be str, not None
2026-03-03 11:20:44.657 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip test_ADMIN_FallbackCity_2026-05-01: strptime() argument 1 must be str, not None
2026-03-03 11:20:44.657 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip 554188368783_FALLBACKCITY_2026-05-01: strptime() argument 1 must be str, not None
2026-03-03 11:20:44.658 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip 554199999999_LISBOA_2026-04-14: strptime() argument 1 must be str, not None
2026-03-03 11:30:00.043 | INFO     | app.services.scheduler_service:monitor_government_alerts:434 - 🏛️ Iniciando Monitor de Avisos Governamentais Diário...
2026-03-03 11:30:00.054 | ERROR    | app.services.trip_service:get_active_monitoring_trips:313 - Erro ao calcular janela de monitoramento para trip test_USER_alerts_999_D7-Place_2026-03-04: cannot access local variable 'end_dt' where it is not associated with a value
2026-03-03 11:30:00.055 | ERROR    | app.services.trip_service:get_active_monitoring_trips:313 - Erro ao calcular janela de monitoramento para trip test_USER_alerts_999_D1-Place_2026-02-26: cannot access local variable 'end_dt' where it is not associated with a value
2026-03-03 11:30:00.056 | ERROR    | app.services.trip_service:get_active_monitoring_trips:313 - Erro ao calcular janela de monitoramento para trip test_USER_alerts_999_D0-Place_2026-02-25: cannot access local variable 'end_dt' where it is not associated with a value
